Date	Time0	Sensor0	Time1	Sensor1	Time2	Sensor2	Time3	Sensor3	Time4	Sensor4	Time5	Sensor5	Time6	Sensor6	Time7	Sensor7	Time8	Sensor8	Time9	Sensor9	Time10	Sensor10	Time11	Sensor11	
03/10/2012	14:26:02	1411.854844	14:26:02	1395.187091	14:26:03	1434.154512	14:26:04	1381.334445	14:26:04	1381.334445	14:26:05	1380.939150	14:26:06	1373.433758	14:26:06	1376.592716	14:26:07	1379.358244	14:26:08	1355.303739	14:26:08	1379.358244	14:26:09	1363.967401	
03/10/2012	14:28:01	1412.649763	14:28:02	1399.151186	14:28:03	1424.188544	14:28:03	1383.706792	14:28:04	1382.520495	14:28:05	1382.520495	14:28:06	1371.065690	14:28:06	1381.729767	14:28:07	1382.125117	14:28:08	1356.484370	14:28:08	1382.915900	14:28:09	1365.938259	
03/10/2012	14:30:01	1411.854844	14:30:02	1397.961668	14:30:03	1418.217297	14:30:03	1382.915900	14:30:04	1381.729767	14:30:05	1382.520495	14:30:05	1367.515437	14:30:06	1381.334445	14:30:07	1382.915900	14:30:08	1355.303739	14:30:08	1382.915900	14:30:09	1363.967401	
03/10/2012	14:32:01	1410.662674	14:32:02	1396.376030	14:32:03	1412.252290	14:32:04	1380.543882	14:32:04	1379.753429	14:32:05	1380.148642	14:32:06	1363.573311	14:32:06	1378.172853	14:32:07	1378.963086	14:32:08	1352.549889	14:32:08	1380.148642	14:32:09	1361.209347	
03/10/2012	14:34:01	1406.690570	14:34:02	1392.017800	14:34:03	1406.293512	14:34:04	1376.987709	14:34:04	1376.197750	14:34:05	1376.592716	14:34:06	1358.846367	14:34:06	1374.618162	14:34:07	1375.407901	14:34:08	1349.011187	14:34:08	1376.592716	14:34:09	1357.665246	
03/10/2012	14:36:02	1402.324448	14:36:02	1387.662902	14:36:03	1399.547747	14:36:04	1372.644293	14:36:04	1371.854937	14:36:05	1372.249601	14:36:06	1354.123354	14:36:06	1369.487526	14:36:07	1371.065690	14:36:08	1344.689101	14:36:08	1372.249601	14:36:09	1352.943214	
03/10/2012	14:38:01	1397.565217	14:38:02	1382.520495	14:38:03	1392.413865	14:38:04	1367.121102	14:38:04	1367.121102	14:38:05	1367.909801	14:38:06	1348.618134	14:38:06	1363.967401	14:38:07	1366.332512	14:38:08	1339.977852	14:38:08	1366.332512	14:38:09	1347.832110	
03/10/2012	14:40:01	1392.413865	14:40:02	1376.592716	14:40:03	1384.102279	14:40:04	1361.209347	14:40:04	1360.815449	14:40:05	1362.391206	14:40:06	1341.940397	14:40:06	1358.058925	14:40:07	1360.815449	14:40:08	1334.094289	14:40:08	1360.421578	14:40:09	1341.940397	
03/10/2012	14:42:01	1386.080128	14:42:02	1370.671108	14:42:03	1370.276554	14:42:04	1356.090799	14:42:04	1354.516789	14:42:05	1356.484370	14:42:06	1335.662642	14:42:06	1352.156591	14:42:07	1354.910250	14:42:08	1329.000138	14:42:08	1354.123354	14:42:09	1335.662642	
03/10/2012	14:44:01	1380.148642	14:44:02	1363.967401	14:44:03	1363.573311	14:44:04	1349.404267	14:44:04	1348.225108	14:44:05	1350.583671	14:44:06	1329.000138	14:44:06	1345.474690	14:44:07	1348.225108	14:44:08	1323.127959	14:44:08	1347.439138	14:44:09	1329.391833	
03/10/2012	14:46:01	1373.828532	14:46:02	1357.665246	14:46:03	1356.484370	14:46:04	1343.510922	14:46:04	1341.940397	14:46:05	1344.296348	14:46:06	1322.736697	14:46:06	1338.800651	14:46:07	1342.332987	14:46:08	1317.261864	14:46:08	1340.762788	14:46:09	1323.127959	
03/10/2012	14:48:01	1367.515437	14:48:02	1350.976860	14:48:03	1349.404267	14:48:04	1336.839192	14:48:04	1335.662642	14:48:05	1338.015986	14:48:05	1316.480177	14:48:06	1332.526370	14:48:07	1335.662642	14:48:08	1311.401843	14:48:08	1334.486337	14:48:09	1317.261864	
03/10/2012	14:50:01	1361.209347	14:50:02	1344.689101	14:50:03	1342.332987	14:50:04	1330.567082	14:50:04	1329.783556	14:50:05	1331.742574	14:50:06	1309.840196	14:50:06	1325.867552	14:50:07	1329.783556	14:50:08	1304.767819	14:50:08	1327.825215	14:50:09	1311.401843	
03/10/2012	14:52:01	1355.303739	14:52:02	1338.408304	14:52:03	1334.878412	14:52:04	1324.693278	14:52:04	1323.519248	14:52:05	1325.867552	14:52:06	1303.597916	14:52:06	1319.607572	14:52:07	1323.519248	14:52:08	1298.920727	14:52:08	1321.563072	14:52:09	1305.157840	
03/10/2012	14:54:01	1349.011187	14:54:02	1332.134458	14:54:03	1328.216829	14:54:03	1318.434596	14:54:04	1317.261864	14:54:05	1319.607572	14:54:06	1297.362524	14:54:06	1313.354509	14:54:07	1317.261864	14:54:08	1293.079680	14:54:08	1314.917127	14:54:09	1299.310345	
03/10/2012	14:56:01	1343.118250	14:56:02	1325.867552	14:56:03	1321.954253	14:56:03	1312.573362	14:56:04	1311.401843	14:56:05	1314.135764	14:56:05	1291.912195	14:56:06	1307.108351	14:56:07	1311.401843	14:56:07	1288.022323	14:56:08	1309.059534	14:56:09	1293.468895	
03/10/2012	14:58:01	1336.839192	14:58:02	1319.998618	14:58:03	1315.307849	14:58:04	1306.718195	14:58:04	1305.547888	14:58:05	1307.888743	14:58:06	1285.689685	14:58:06	1300.869085	14:58:07	1305.157840	14:58:08	1282.192535	14:58:08	1302.428256	14:58:09	1287.633483	
03/10/2012	15:00:01	1331.350716	15:00:02	1314.135764	15:00:03	1309.059534	15:00:04	1300.869085	15:00:04	1299.699990	15:00:05	1302.428256	15:00:06	1280.250611	15:00:06	1295.026025	15:00:07	1299.699990	15:00:08	1276.756831	15:00:08	1296.583583	15:00:09	1282.192535	
03/10/2012	15:02:01	1325.476100	15:02:02	1308.278980	15:02:03	1303.208003	15:02:04	1295.026025	15:02:04	1293.858137	15:02:05	1296.583583	15:02:06	1274.428847	15:02:06	1289.189003	15:02:07	1293.858137	15:02:08	1271.326362	15:02:08	1290.744952	15:02:09	1276.368767	
03/10/2012	15:04:01	1319.607572	15:04:02	1302.428256	15:04:03	1296.973040	15:04:03	1289.189003	15:04:04	1288.411189	15:04:05	1291.134006	15:04:06	1269.000619	15:04:06	1283.358011	15:04:07	1288.411189	15:04:08	1265.901121	15:04:08	1284.912353	15:04:09	1270.938672	
03/10/2012	15:06:01	1314.135764	15:06:02	1296.973040	15:06:03	1291.523088	15:06:04	1284.135129	15:06:04	1282.969492	15:06:05	1285.689685	15:06:06	1263.190458	15:06:06	1277.921184	15:06:07	1282.969492	15:06:08	1260.481100	15:06:08	1279.474028	15:06:09	1265.513803	
03/10/2012	15:08:01	1308.669244	15:08:02	1291.523088	15:08:03	1285.689685	15:08:03	1279.085777	15:08:04	1277.533040	15:08:05	1280.638942	15:08:05	1258.159830	15:08:06	1272.489594	15:08:07	1277.533040	15:08:07	1255.452890	15:08:08	1274.040943	15:08:09	1260.094155	
03/10/2012	15:10:01	1303.597916	15:10:02	1286.078391	15:10:03	1279.862306	15:10:03	1273.653065	15:10:04	1272.101823	15:10:05	1275.204735	15:10:05	1252.747253	15:10:06	1267.063233	15:10:07	1272.489594	15:10:07	1250.042916	15:10:08	1268.613088	15:10:09	1255.066291	
03/10/2012	15:12:01	1298.531136	15:12:02	1281.027301	15:12:03	1274.428847	15:12:03	1269.000619	15:12:04	1267.063233	15:12:05	1270.163371	15:12:06	1247.725947	15:12:06	1262.029145	15:12:07	1267.450657	15:12:08	1245.409932	15:12:08	1263.190458	15:12:09	1250.042916	
03/10/2012	15:14:01	1293.468895	15:14:02	1275.980730	15:14:03	1269.388176	15:14:04	1263.964800	15:14:04	1262.416223	15:14:05	1265.513803	15:14:06	1243.094870	15:14:06	1256.612848	15:14:07	1262.416223	15:14:08	1240.780762	15:14:08	1258.159830	15:14:09	1245.409932	
03/10/2012	15:16:01	1288.411189	15:16:02	1270.938672	15:16:03	1264.352011	15:16:03	1259.320345	15:16:04	1257.386286	15:16:05	1260.481100	15:16:06	1238.082173	15:16:06	1251.974452	15:16:07	1257.773044	15:16:07	1236.155402	15:16:08	1253.520159	15:16:09	1240.780762	
03/10/2012	15:18:01	1283.746556	15:18:02	1266.288465	15:18:03	1259.707237	15:18:03	1254.679718	15:18:04	1252.747253	15:18:05	1255.839516	15:18:06	1233.844150	15:18:06	1247.339878	15:18:07	1253.133693	15:18:08	1231.918832	15:18:08	1248.498163	15:18:09	1236.155402	
03/10/2012	15:20:01	1279.085777	15:20:02	1262.029145	15:20:03	1255.066291	15:20:03	1250.042916	15:20:04	1248.112042	15:20:05	1251.201758	15:20:06	1229.609321	15:20:06	1242.709120	15:20:07	1248.498163	15:20:08	1227.685455	15:20:08	1244.252282	15:20:09	1231.918832	
03/10/2012	15:22:01	1274.816777	15:22:02	1257.386286	15:22:03	1250.429170	15:22:03	1245.795868	15:22:04	1243.866452	15:22:05	1246.953836	15:22:06	1225.377685	15:22:06	1238.082173	15:22:07	1243.866452	15:22:08	1223.455268	15:22:08	1239.624065	15:22:09	1227.685455	
