Date	Time0 Sensor0	Time1 Sensor1	Time2 Sensor2	Time3 Sensor3	Time4 Sensor4
11/30/2011	17:30:00 2419.648272	17:30:03 2419.177563	17:30:05 2168.746286	17:30:08 2168.746286	17:30:11 3003.690623
11/30/2011	17:30:15 2419.177563	17:30:18 2419.177563	17:30:20 2168.746286	17:30:23 2168.746286	17:30:26 2998.016660
11/30/2011	17:30:30 2423.886256	17:30:33 2419.177563	17:30:35 2168.746286	17:30:38 2168.746286	17:30:41 3325.200277
11/30/2011	17:30:45 2419.177563	17:30:48 2419.177563	17:30:50 2168.746286	17:30:53 2168.746286	17:30:56 2619.579450
11/30/2011	17:31:00 2419.648272	17:31:03 2419.648272	17:31:05 2168.746286	17:31:08 2168.746286	17:31:11 3109.297488
11/30/2011	17:31:15 2419.177563	17:31:18 2419.177563	17:31:20 2168.746286	17:31:23 2168.746286	17:31:26 3226.236125
11/30/2011	17:31:30 2419.177563	17:31:33 2419.177563	17:31:35 2168.746286	17:31:38 2168.746286	17:31:41 3370.873628
11/30/2011	17:31:45 2419.177563	17:31:48 2419.177563	17:31:50 2168.746286	17:31:53 2168.746286	17:31:56 3138.732959
11/30/2011	17:32:00 2419.177563	17:32:03 2419.177563	17:32:05 2168.746286	17:32:08 2168.746286	17:32:11 3294.384940
11/30/2011	17:32:15 2419.177563	17:32:18 2419.177563	17:32:20 2168.746286	17:32:23 2168.746286	17:32:26 2968.181099
11/30/2011	17:32:30 2419.648272	17:32:33 2419.648272	17:32:35 2168.746286	17:32:38 2168.746286	17:32:41 3172.535777
11/30/2011	17:32:45 2419.177563	17:32:48 2419.177563	17:32:50 2168.746286	17:32:53 2168.746286	17:32:56 3157.197350
11/30/2011	17:33:00 2419.177563	17:33:03 2419.648272	17:33:05 2168.746286	17:33:08 2168.746286	17:33:11 3144.003209
11/30/2011	17:33:15 2419.177563	17:33:18 2419.177563	17:33:20 2168.746286	17:33:23 2168.746286	17:33:26 3043.547488
11/30/2011	17:33:30 2419.648272	17:33:33 2419.177563	17:33:35 2168.746286	17:33:38 2168.746286	17:33:41 3167.242626
11/30/2011	17:33:45 2419.177563	17:33:48 2419.177563	17:33:50 2168.746286	17:33:53 2168.746286	17:33:56 3149.805369
11/30/2011	17:34:00 2419.648272	17:34:03 2419.648272	17:34:05 2168.746286	17:34:08 2168.746286	17:34:11 3151.388666
11/30/2011	17:34:15 2419.177563	17:34:18 2419.177563	17:34:20 2168.746286	17:34:23 2168.746286	17:34:26 3170.947385
11/30/2011	17:34:30 2419.177563	17:34:33 2419.177563	17:34:35 2168.746286	17:34:38 2168.746286	17:34:41 3046.144046
11/30/2011	17:34:45 2419.177563	17:34:48 2419.648272	17:34:50 2168.746286	17:34:53 2168.746286	17:34:56 3213.968868
11/30/2011	17:35:00 2419.177563	17:35:03 2419.177563	17:35:05 2168.746286	17:35:08 2168.746286	17:35:11 3150.333093
11/30/2011	17:35:15 2419.177563	17:35:18 2419.177563	17:35:20 2168.746286	17:35:23 2168.746286	17:35:26 3153.500321
11/30/2011	17:35:30 2419.177563	17:35:33 2419.177563	17:35:35 2168.746286	17:35:38 2168.746286	17:35:41 3157.197350
11/30/2011	17:35:45 2419.177563	17:35:48 2419.177563	17:35:50 2168.746286	17:35:53 2168.746286	17:35:56 3126.101586
11/30/2011	17:36:00 2419.648272	17:36:03 2419.648272	17:36:05 2168.746286	17:36:08 2168.746286	17:36:11 3082.082402
11/30/2011	17:36:15 2419.177563	17:36:18 2419.177563	17:36:20 2168.746286	17:36:23 2168.746286	17:36:26 3137.679416
11/30/2011	17:36:30 2419.177563	17:36:33 2419.177563	17:36:35 2168.746286	17:36:38 2168.746286	17:36:41 3121.896524
11/30/2011	17:36:45 2419.177563	17:36:48 2419.177563	17:36:50 2168.746286	17:36:53 2168.746286	17:36:56 3106.151508
11/30/2011	17:37:00 2419.177563	17:37:03 2419.177563	17:37:05 2168.746286	17:37:08 2168.746286	17:37:11 3165.655510
11/30/2011	17:37:15 2419.177563	17:37:18 2419.648272	17:37:20 2168.746286	17:37:23 2168.746286	17:37:26 3097.769606
11/30/2011	17:37:30 2419.648272	17:37:33 2419.648272	17:37:35 2168.746286	17:37:38 2168.746286	17:37:41 3159.839357
11/30/2011	17:37:45 2419.177563	17:37:48 2419.177563	17:37:50 2168.746286	17:37:53 2168.746286	17:37:56 3089.398418
11/30/2011	17:38:00 2419.177563	17:38:03 2419.177563	17:38:05 2168.746286	17:38:08 2168.746286	17:38:11 3172.006271
11/30/2011	17:38:15 2419.177563	17:38:18 2419.648272	17:38:20 2168.746286	17:38:23 2168.746286	17:38:26 3027.989822
11/30/2011	17:38:30 2420.119016	17:38:33 2419.648272	17:38:35 2169.198203	17:38:38 2168.746286	17:38:41 3012.985981
11/30/2011	17:38:45 2419.648272	17:38:48 2419.177563	17:38:50 2168.746286	17:38:53 2168.746286	17:38:56 3100.387798
11/30/2011	17:39:00 2419.177563	17:39:03 2419.177563	17:39:05 2168.746286	17:39:08 2168.746286	17:39:11 3130.835504
11/30/2011	17:39:15 2421.531463	17:39:18 2419.648272	17:39:20 2168.746286	17:39:23 2168.746286	17:39:26 3022.294639
11/30/2011	17:39:30 2419.177563	17:39:33 2419.177563	17:39:35 2168.746286	17:39:38 2168.746286	17:39:41 3131.361706
11/30/2011	17:39:45 2419.177563	17:39:48 2419.177563	17:39:50 2168.746286	17:39:53 2168.746286	17:39:56 3150.860858
11/30/2011	17:40:00 2419.177563	17:40:03 2419.177563	17:40:05 2168.746286	17:40:08 2168.746286	17:40:11 2980.510220
11/30/2011	17:40:15 2420.589796	17:40:18 2419.177563	17:40:20 2168.746286	17:40:23 2168.746286	17:40:26 3186.317907
11/30/2011	17:40:30 2419.177563	17:40:33 2419.177563	17:40:35 2168.746286	17:40:38 2168.746286	17:40:41 2591.454042
11/30/2011	17:40:45 2423.886256	17:40:48 2419.648272	17:40:50 2169.198203	17:40:53 2169.198203	17:40:56 3187.910009
11/30/2011	17:41:00 2423.415226	17:41:03 2419.177563	17:41:05 2168.746286	17:41:08 2168.746286	17:41:11 3219.832977
