Date	Time0	Sensor0	Time1	Sensor1	Time2	Sensor2	Time3	Sensor3	Time4	Sensor4	Time5	Sensor5	Time6	Sensor6	Time7	Sensor7	Time8	Sensor8	Time9	Sensor9	Time10	Sensor10	Time11	Sensor11	
01/30/2012	16:40:01	1637400.000000	16:40:02	2462.017961	16:40:03	2440.571189	16:40:03	2211.919232	16:40:04	2185.069984	16:40:05	2133.894415	16:40:05	2220.758797	16:40:06	2341.286836	16:40:07	2403.053277	16:40:08	2258.228100	16:40:08	2182.904322	16:40:09	2314.921598	
01/30/2012	16:42:02	2496.372172	16:42:02	2461.286574	16:42:03	2440.209974	16:42:03	2211.289690	16:42:04	2184.450923	16:42:05	2127.015937	16:42:05	2214.124571	16:42:06	2336.863544	16:42:07	2399.170124	16:42:07	2255.314922	16:42:08	2180.124224	16:42:09	2311.236863	
01/30/2012	16:44:02	2491.157042	16:44:02	2459.094268	16:44:03	2438.044277	16:44:03	2209.088238	16:44:04	2182.286103	16:44:05	2116.606430	16:44:05	2205.321334	16:44:06	2328.390046	16:44:07	2391.079375	16:44:07	2210.345841	16:44:08	2210.031348	16:44:09	2303.891914	
01/30/2012	16:46:01	2487.441464	16:46:02	2456.904737	16:46:03	2435.881304	16:46:03	2206.262231	16:46:04	2179.198603	16:46:05	2109.213398	16:46:05	2198.438263	16:46:06	2321.305494	16:46:07	2383.725733	16:46:07	2203.441197	16:46:08	2203.128055	16:46:09	2296.911158	
01/30/2012	16:48:02	2484.474692	16:48:02	2454.717976	16:48:03	2433.361274	16:48:03	2203.754400	16:48:04	2176.424971	16:48:05	2101.268219	16:48:05	2190.652386	16:48:06	2313.580746	16:48:07	2376.403916	16:48:07	2196.254389	16:48:08	2195.942651	16:48:09	2289.959839	
01/30/2012	16:50:01	2481.512962	16:50:02	2452.170249	16:50:03	2430.844938	16:50:03	2201.250488	16:50:04	2173.963580	16:50:05	2092.779613	16:50:05	2181.977083	16:50:06	2305.224934	16:50:07	2367.728674	16:50:07	2188.479128	16:50:08	2188.168904	16:50:09	2282.380046	
01/30/2012	16:52:02	2478.556263	16:52:02	2449.989471	16:52:03	2428.691012	16:52:04	2198.438263	16:52:04	2171.199071	16:52:05	2084.337349	16:52:06	2173.656174	16:52:06	2296.579477	16:52:07	2359.097899	16:52:08	2180.432884	16:52:08	2180.124224	16:52:09	2274.507845	
01/30/2012	16:54:02	2475.973268	16:54:02	2447.448711	16:54:03	2426.181514	16:54:04	2195.942651	16:54:04	2168.439373	16:54:05	2076.518637	16:54:06	2165.378671	16:54:06	2288.309082	16:54:07	2350.168694	16:54:08	2172.734314	16:54:08	2172.427147	16:54:09	2266.673313	
01/30/2012	16:56:02	2473.762324	16:56:02	2445.273893	16:56:03	2424.033438	16:56:03	2193.450931	16:56:04	2165.990338	16:56:05	2068.739464	16:56:05	2157.448449	16:56:06	2280.408449	16:56:07	2342.309262	16:56:07	2165.072926	16:56:08	2165.072926	16:56:09	2258.876181	
01/30/2012	16:58:02	2471.554190	16:58:02	2443.101818	16:58:03	2421.888053	16:58:03	2190.963093	16:58:04	2163.545086	16:58:05	2061.285501	16:58:05	2149.860617	16:58:06	2272.545691	16:58:07	2334.147334	16:58:07	2157.752722	16:58:08	2157.448449	16:58:09	2251.761437	
